TIPO,VETA_POLIG,Toneladas,Ag (g/t),Au (g/t),Pot .(m),LEY AG-EQ,ONZAS,VPT AG,VPT AU,VLP,COSTO TOTAL,INGRESO,COSTO,MARGEN ANTES AVANCE,PU METRAJE,METROS POSIBLES,FR,DIL,Ton Dil,Ag Dil,Au Dil,VLP Dil,Pot Dil,Ag-eq Dil,Oz ag-eq dil,Ingreso Dil,Costo Dil,Margen Dil sin avance,Metros posibles Final,t dil * ag dil,t dil * au dil,t dil * pot dil,t dil * vlp dil,t dil * ag-eq dil,t dil * dil,t dil * fact recup,P-COD EVAL,P-COND-AG27-AU1800,PLAN,PRIORIDAD,PLAN_F
M+I,CharoPNM1252 F,890,336.96,1.23,0.87,442.59,12671,0.70807212,47.5981361,297.0546551,123.8,264507.3595,110235.6437,154271.7159,2200,70,0.4,0.276,454.4218548,264.1056185,0.962725981,232.8297873,1.110054713,346.9000528,5068.206647,105802.9438,56257.42563,49545.51818,22.52069008,120015.365,437.4837259,395.3718765,105802.9438,157638.9654,125.34987,181.7687419,-,-,PLAN 3,143,-
M+I,Cimoide Yurika 1CNM1965 A,249,429.78,3.89,0.98,764.21,6106,0.70807212,47.5981361,489.4114853,123.8,121633.493,30768.0283,90865.46468,2200,41,0.4,0.000,99.41204621,429.7796405,3.888734297,489.4114853,0.983042407,764.21079,2442.546928,48653.39719,12307.21132,36346.18587,16.52099358,42725.27348,386.5870336,97.72625721,48653.39719,75971.75837,0,39.76481848,-,-,PLAN 3,177,-
M+I,Cimoide Yurika 1PNM1965 C,"1,185",296.70,3.67,0.88,612.58,23337,0.70807212,47.5981361,384.9145585,123.8,456086.377,146690.9791,309395.3978,2200,141,0.4,1.405,1139.937097,123.3607711,1.527177779,160.0391384,2.12040851,254.6980601,9334.633309,182434.5508,141124.2125,41310.33825,18.77742648,140623.5192,1740.886604,1004.991278,182434.5508,290339.7671,1601.757145,455.9748386,-,-,PLAN 3,165,-
M+I,Cimoide Yurika 2CNM2007 A,788,633.38,6.08,1.50,"1,156.60",29286,0.70807212,47.5981361,738.0620408,123.8,581268.3771,97499.96763,483768.4095,2200,220,0.4,0.000,315.024128,633.3828113,6.083879641,738.0620408,1.499775512,1156.59646,11714.30197,232507.3508,38999.98705,193507.3638,87.95789263,199530.8678,1916.568879,472.4654728,232507.3508,364355.7914,0,126.0096512,-,-,PLAN 3,35,4
M+I,Cimoide Yurika 2CNM2007 B,230,425.50,4.28,1.26,793.92,5878,0.70807212,47.5981361,505.1941208,123.8,116339.583,28509.51699,87830.06597,2200,40,0.4,0.000,92.11475603,425.5009777,4.283964844,505.1941208,1.255279647,793.9219543,2351.244301,46535.83319,11403.8068,35132.02639,15.9691029,39194.91875,394.6163764,115.6297784,46535.83319,73131.92712,0,36.84590241,-,-,PLAN 3,180,-
M+I,Cimoide Yurika 2PNM2007 A,"1,207",572.26,5.99,1.06,"1,087.28",42204,0.70807212,47.5981361,690.2483705,123.8,833347.127,149465.5818,683881.5451,2200,311,0.4,1.004,967.6709424,285.5944615,2.988645193,344.4754164,2.129612208,542.6179482,16881.56064,333338.8508,119797.6627,213541.1881,97.06417642,276361.4617,2892.025111,1028.445001,333338.8508,525075.6213,971.3158749,387.068377,-,-,PLAN 3,30,3
M+I,Cimoide Yurika 2PNM2007 B,755,399.16,3.95,1.02,739.20,17938,0.70807212,47.5981361,470.8378431,123.8,355369.3359,93439.22632,261930.1096,2200,119,0.4,1.101,634.1614524,190.027911,1.882368577,224.1507014,2.135647871,351.9116086,7175.037433,142147.7344,78509.1878,63638.54655,28.92661207,120508.376,1193.725591,644.7602091,142147.7344,223168.7768,697.9209749,253.6645809,-,-,PLAN 3,118,-
M+I,CimoidePNM9125 A,269,238.14,0.81,0.81,307.79,2664,0.70807212,47.5981361,207.1695077,123.8,55779.47669,33332.60426,22446.87243,2200,10,0.4,0.297,139.6450396,183.6599787,0.624615249,159.7750321,1.049081801,237.3768902,1065.748396,22311.79068,17288.0559,5023.734777,2.283515808,25647.205,87.22442122,112.9842601,22311.79068,33148.50522,41.42326456,55.85801583,-,-,PLAN 3,311,-
M+I,CimoidePNM9125 B,923,149.91,0.59,0.89,201.04,5963,0.70807212,47.5981361,134.4440107,123.8,124037.2772,114217.1736,9820.103576,2200,4,0.4,0.268,468.0581741,118.1981896,0.468689524,106.0015904,1.132303115,158.5054887,2385.255346,49614.91087,57945.60196,-8330.691086,-3.786677766,55323.62883,219.3739629,417.862557,49614.91087,74189.78965,125.5896941,187.2232697,-,-,PLAN 3,390,-
M+I,CimoidePNM9126 A,460,777.01,3.21,1.04,"1,053.01",15563,0.70807212,47.5981361,702.935824,123.8,323126.28,56908.51439,266217.7656,2200,121,0.4,1.801,514.9897315,277.4235476,1.145864046,250.9768721,2.922664668,375.9678555,6225.009563,129250.512,63755.72875,65494.78323,29.77035601,142870.2783,590.1082173,537.3974293,129250.512,193619.5849,927.3930991,205.9958926,-,-,PLAN 3,112,-
